GEOID,Census_Tract,NAME,LOWEST_QUINTILE,SECOND_QUINTILE,THIRD_QUINTILE,FOURTH_QUINTILE,HIGHEST_QUINTILE,TOP5_QUINTILE
1400000US53033026600,53033026600,"Census Tract 266, King County, Washington",15218,47798,88948,133830,267627,492615
1400000US53033026700,53033026700,"Census Tract 267, King County, Washington",28242,58112,99143,135751,285023,552864
1400000US53033026801,53033026801,"Census Tract 268.01, King County, Washington",14650,35734,57930,96107,169316,251116
1400000US53033026802,53033026802,"Census Tract 268.02, King County, Washington",15699,32799,56576,98125,173812,265402
1400000US53033027000,53033027000,"Census Tract 270, King County, Washington",17038,41662,61062,99911,209341,424507
1400000US53033027100,53033027100,"Census Tract 271, King County, Washington",12662,28437,49131,83834,162394,228694
1400000US53033027200,53033027200,"Census Tract 272, King County, Washington",14957,38587,60370,100689,161544,253290
1400000US53033027300,53033027300,"Census Tract 273, King County, Washington",20902,42294,63981,92939,138340,179913
1400000US53033027400,53033027400,"Census Tract 274, King County, Washington",19331,44645,76151,103595,186806,294940
1400000US53033027500,53033027500,"Census Tract 275, King County, Washington",20875,39299,65171,93676,149507,235303
1400000US53033027600,53033027600,"Census Tract 276, King County, Washington",18627,48630,78665,132213,252746,400320
1400000US53033027701,53033027701,"Census Tract 277.01, King County, Washington",16428,38156,70850,136007,288102,528706
1400000US53033027702,53033027702,"Census Tract 277.02, King County, Washington",23480,52500,91349,129684,310971,601561
1400000US53033027800,53033027800,"Census Tract 278, King County, Washington",31867,71601,103070,158062,303963,504168
1400000US53033027900,53033027900,"Census Tract 279, King County, Washington",16272,40769,65059,110985,268521,539028
1400000US53033028000,53033028000,"Census Tract 280, King County, Washington",15132,35750,54432,79494,178108,320850
1400000US53033028100,53033028100,"Census Tract 281, King County, Washington",16115,38896,62445,86277,141664,179612
1400000US53033028200,53033028200,"Census Tract 282, King County, Washington",15171,39679,64732,95687,189182,323365
1400000US53033028300,53033028300,"Census Tract 283, King County, Washington",28770,59129,90600,122473,185532,245497
1400000US53033028402,53033028402,"Census Tract 284.02, King County, Washington",12790,29923,51267,75705,192703,383135
